,date,value
966,2022-05-19,21.19
967,2022-05-20,21.04
968,2022-05-23,20.9
969,2022-05-24,19.74
970,2022-05-25,19.91
971,2022-05-26,18.78
972,2022-05-27,18.85
973,2022-05-30,19.67
974,2022-05-31,21.24
975,2022-06-01,20.63
976,2022-06-02,20.22
977,2022-06-06,20.63
978,2022-06-07,20.76
979,2022-06-08,21.07
980,2022-06-09,21.45
981,2022-06-10,20.63
982,2022-06-13,18.99
983,2022-06-14,19.19
984,2022-06-15,20.39
985,2022-06-16,19.19
986,2022-06-17,19.12
987,2022-06-20,21.99
988,2022-06-21,22.54
989,2022-06-22,21.65
990,2022-06-23,21.75
991,2022-06-24,22.2
992,2022-06-27,23.53
993,2022-06-28,24.14
994,2022-06-29,23.9
995,2022-06-30,23.87
996,2022-07-04,22.81
997,2022-07-05,22.78
998,2022-07-06,22.4
999,2022-07-07,21.85
1000,2022-07-08,22.3
1001,2022-07-11,19.43
1002,2022-07-12,18.54
1003,2022-07-13,17.28
1004,2022-07-14,16.9
1005,2022-07-15,15.57
1006,2022-07-18,16.56
1007,2022-07-19,15.61
1008,2022-07-20,15.44
1009,2022-07-21,14.07
1010,2022-07-22,13.9
1011,2022-07-25,14.17
1012,2022-07-26,15.26
1013,2022-07-27,11.91
1014,2022-07-28,12.68
1015,2022-07-29,11.94
1016,2022-08-01,10.75
1017,2022-08-02,9.94
1018,2022-08-03,9.58
1019,2022-08-04,9.67
1020,2022-08-05,10.03
1021,2022-08-08,9.64
1022,2022-08-09,10.04
1023,2022-08-10,9.45
1024,2022-08-11,9.67
1025,2022-08-12,9.94
1026,2022-08-15,9.45
1027,2022-08-16,10.87
1028,2022-08-17,10.41
1029,2022-08-18,10.29
1030,2022-08-19,10.5
1031,2022-08-22,10.91
1032,2022-08-23,10.74
1033,2022-08-24,9.61
1034,2022-08-25,9.97
1035,2022-08-26,10.3
1036,2022-08-29,10.07
1037,2022-08-30,9.76
1038,2022-08-31,9.99
1039,2022-09-01,10.13
1040,2022-09-02,8.94
1041,2022-09-05,8.82
1042,2022-09-06,9.68
1043,2022-09-07,9.6
1044,2022-09-08,9.29
1045,2022-09-09,10.27
1046,2022-09-13,10.09
1047,2022-09-14,9.88
1048,2022-09-15,10.43
1049,2022-09-16,10.16
1050,2022-09-19,9.46
1051,2022-09-20,9.44
1052,2022-09-21,9.02
1053,2022-09-22,8.98
1054,2022-09-23,8.73
1055,2022-09-26,8.87
1056,2022-09-27,9.11
1057,2022-09-28,8.03
1058,2022-09-29,7.46
1059,2022-09-30,7.42
1060,2022-10-03,8.02
1061,2022-10-05,7.94
1062,2022-10-06,7.81
1063,2022-10-07,7.55
1064,2022-10-10,7.42
1065,2022-10-11,7.1
1066,2022-10-12,6.75
1067,2022-10-13,5.8
1068,2022-10-14,6.13
